Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
11-Jan-23,11-Jan-23,12:10,13:10,60,0.00,1.00,0.00,0.00,0.00,
13-Jan-23,14-Jan-23,16:35,10:00,1045,0.00,1.00,1.00,0.00,0.00,broken laptop
14-Jan-23,15-Jan-23,13:35,19:30,1795,0.00,1.00,1.00,0.00,0.00,broken laptop
17-Jan-23,17-Jan-23,12:15,18:55,400,0.00,1.00,0.00,0.00,0.00,
28-Jan-23,28-Jan-23,11:20,20:20,540,1.00,0.00,0.00,0.00,0.00,
31-Jan-23,31-Jan-23,15:25,20:35,310,1.00,0.00,0.00,0.00,0.00,
2-Feb-23,2-Feb-23,13:25,19:10,345,1.00,0.00,0.00,0.00,0.00,
6-Feb-23,6-Feb-23,13:50,18:30,280,1.00,0.00,0.00,0.00,0.00,
8-Feb-23,9-Feb-23,17:00,13:00,1200,1.00,1.00,1.00,0.00,1.00,train
13-Feb-23,13-Feb-23,18:40,23:05,265,0.00,1.00,0.00,0.00,0.00,
14-Feb-23,14-Feb-23,18:40,22:30,230,0.00,1.00,0.00,0.00,0.00,
17-Feb-23,19-Feb-23,18:40,13:15,2555,0.00,1.00,1.00,0.00,0.00,standup
22-Feb-23,24-Feb-23,18:40,1:20,1840,0.00,1.00,1.00,0.00,0.00,
25-Feb-23,26-Feb-23,21:30,17:20,1190,0.00,1.00,1.00,0.00,0.00,
27-Feb-23,27-Feb-23,10:55,14:55,240,0.00,1.00,0.00,0.00,0.00,
3-Mar-23,4-Mar-23,18:20,18:20,1440,0.00,1.00,1.00,0.00,0.00,
7-Mar-23,8-Mar-23,19:35,20:00,1465,0.00,1.00,1.00,0.00,0.00,
9-Mar-23,9-Mar-23,18:35,22:55,260,0.00,1.00,0.00,0.00,0.00,
12-Mar-23,12-Mar-23,12:15,19:35,440,0.00,1.00,0.00,0.00,0.00,
15-Mar-23,16-Mar-23,17:45,12:40,1135,0.00,1.00,1.00,0.00,0.00,
16-Mar-23,19-Mar-23,22:25,14:10,3825,0.00,1.00,1.00,0.00,0.00,broken arm
23-Mar-23,25-Mar-23,17:15,9:10,3835,0.00,1.00,1.00,0.00,0.00,broken arm
26-Mar-23,26-Mar-23,16:50,20:10,200,0.00,1.00,0.00,0.00,0.00,
27-Mar-23,27-Mar-23,18:15,21:15,180,0.00,1.00,0.00,0.00,0.00,
28-Mar-23,29-Mar-23,16:35,13:15,1240,0.00,1.00,0.00,1.00,0.00,
30-Mar-23,31-Mar-23,20:35,19:15,1360,0.00,1.00,1.00,0.00,0.00,
5-Apr-23,5-Apr-23,16:35,22:20,345,0.00,1.00,0.00,0.00,0.00,
7-Apr-23,8-Apr-23,19:05,9:20,855,0.00,1.00,1.00,0.00,0.00,
8-Apr-23,9-Apr-23,15:45,12:30,1245,0.00,1.00,1.00,0.00,0.00,
15-Apr-23,16-Apr-23,16:30,15:45,1395,0.00,1.00,1.00,0.00,0.00,
19-Apr-23,20-Apr-23,16:40,13:30,1250,0.00,1.00,1.00,0.00,0.00,
21-Apr-23,22-Apr-23,19:00,12:15,1035,0.00,1.00,1.00,0.00,0.00,
26-Apr-23,27-Apr-23,20:35,16:30,1195,0.00,1.00,1.00,0.00,0.00,
28-Apr-23,28-Apr-23,16:35,17:55,80,0.00,1.00,0.00,0.00,1.00,
1-May-23,1-May-23,20:45,21:20,35.00,0.00,1.00,0.00,0.00,1.00,
